dataset,model,initial accuracy, smoteBackground Shapley Value Sampling, smoteBackground Feature Ablation, prototypesBackground Feature Ablation,  prototypesBackground Shapley Value Sampling,   zerosBackground Feature Ablation,  zerosBackground Shapley Value Sampling
ArticularyWordRecognition,hydra,0.993,0.995,0.991,0.990,0.990,0.987,0.988,
ArticularyWordRecognition,ConvTran,0.963,0.861,0.937,0.925,0.873,0.964,0.953,
ArticularyWordRecognition,miniRocket,0.993,0.992,0.989,0.991,0.993,0.991,0.989,
DuckDuckGeese,hydra,0.620,0.552,0.544,0.548,0.544,0.528,0.516,
DuckDuckGeese,ConvTran,0.660,0.564,0.564,0.556,0.532,0.600,0.588,
DuckDuckGeese,miniRocket,0.700,0.640,0.672,0.680,0.644,0.644,0.648,
FaceDetection,hydra,0.557,0.559,0.523,0.513,0.546,0.528,0.505,
FaceDetection,ConvTran,0.633,0.583,0.578,0.583,0.615,0.585,0.586,
FaceDetection,miniRocket,0.626,0.610,0.555,0.586,0.596,0.581,0.593,
FingerMovements,hydra,0.580,0.538,0.572,0.588,0.526,0.540,0.534,
FingerMovements,ConvTran,0.560,0.502,0.532,0.544,0.496,0.462,0.480,
FingerMovements,miniRocket,0.600,0.500,0.542,0.530,0.494,0.582,0.590,
HandMovementDirection,hydra,0.216,0.211,0.286,0.281,0.254,0.319,0.216,
HandMovementDirection,ConvTran,0.378,0.335,0.357,0.338,0.311,0.292,0.273,
HandMovementDirection,miniRocket,0.392,0.305,0.276,0.295,0.346,0.365,0.384,
Heartbeat,hydra,0.766,0.752,0.742,0.743,0.745,0.750,0.753,
Heartbeat,ConvTran,0.702,0.420,0.460,0.615,0.583,0.730,0.762,
Heartbeat,miniRocket,0.707,0.721,0.736,0.712,0.735,0.731,0.739,
MotorImagery,hydra,0.460,0.492,0.492,0.492,0.490,0.498,0.500,
MotorImagery,ConvTran,0.490,0.524,0.462,0.494,0.510,0.480,0.498,
MotorImagery,miniRocket,0.500,0.502,0.500,0.504,0.502,0.500,0.500,
NATOPS,hydra,0.889,0.847,0.858,0.837,0.852,0.836,0.801,
NATOPS,ConvTran,0.933,0.816,0.958,0.939,0.849,0.931,0.938,
NATOPS,miniRocket,0.917,0.878,0.857,0.857,0.857,0.856,0.859,
PEMS-SF,hydra,0.832,0.825,0.840,0.821,0.829,0.820,0.822,
PEMS-SF,ConvTran,0.746,0.698,0.687,0.697,0.719,0.738,0.770,
PEMS-SF,miniRocket,0.838,0.836,0.843,0.824,0.831,0.860,0.873,
PhonemeSpectra,hydra,0.324,0.322,0.322,0.321,0.324,0.320,0.324,
PhonemeSpectra,ConvTran,0.243,0.262,0.273,0.269,0.268,0.265,0.272,
PhonemeSpectra,miniRocket,0.304,0.304,0.303,0.304,0.304,0.305,0.306,
IMU_MP,hydra,0.817,0.830,0.824,0.831,0.813,0.821,0.735,
IMU_MP,ConvTran,0.812,0.819,0.832,0.856,0.839,0.764,0.794,
IMU_MP,miniRocket,0.876,0.759,0.853,0.803,0.621,0.794,0.749,
IMU_Rowing,hydra,0.689,0.541,0.514,0.559,0.534,0.514,0.584,
IMU_Rowing,ConvTran,0.783,0.560,0.587,0.591,0.537,0.697,0.623,
IMU_Rowing,miniRocket,0.792,0.460,0.623,0.631,0.463,0.542,0.613,
MP50,hydra,0.691,0.662,0.624,0.616,0.705,0.669,0.665,
MP50,ConvTran,0.704,0.773,0.773,0.772,0.793,0.738,0.671,
MP50,miniRocket,0.770,0.782,0.777,0.778,0.784,0.739,0.716,
Video_MP,hydra,0.721,0.493,0.707,0.696,0.492,0.696,0.500,
Video_MP,ConvTran,0.733,0.706,0.671,0.687,0.703,0.746,0.361,
Video_MP,miniRocket,0.790,0.717,0.769,0.761,0.743,0.757,0.669,
Video_Rowing,hydra,0.733,0.653,0.626,0.713,0.614,0.416,0.740,
Video_Rowing,ConvTran,0.772,0.778,0.673,0.650,0.807,0.755,0.661,
Video_Rowing,miniRocket,0.749,0.607,0.548,0.541,0.627,0.405,0.628,
EMOPain,hydra,0.856,0.850,0.806,0.819,0.857,0.807,0.736,
EMOPain,ConvTran,0.724,0.861,0.857,0.848,0.696,0.719,0.782,
EMOPain,miniRocket,0.851,0.889,0.888,0.900,0.888,0.846,0.848,
EyesOpenShut,hydra,0.524,0.424,0.443,0.414,0.381,0.352,0.410,
EyesOpenShut,ConvTran,0.500,0.505,0.510,0.524,0.510,0.500,0.500,
EyesOpenShut,miniRocket,0.548,0.405,0.533,0.557,0.424,0.433,0.429,
MotionSenseHAR,hydra,0.981,0.982,0.925,0.925,0.977,0.917,0.991,
MotionSenseHAR,ConvTran,0.985,0.836,0.983,0.976,0.687,0.906,0.808,
MotionSenseHAR,miniRocket,0.992,0.998,0.994,0.993,0.996,0.995,1.000,
